BlockfaceName,avg_paid_occupancy,avg_spaces,observations,coverage_level,occupancy_ratio
15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,12.92,12.0,1200,High Coverage,1.08
15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,11.53,20.0,1200,High Coverage,0.58
BROOKLYN AVE NE BETWEEN NE 41ST ST AND NE 42ND ST,9.78,17.0,1440,High Coverage,0.58
12TH AVE NE BETWEEN NE 41ST ST AND NE 42ND ST,9.4,17.0,720,High Coverage,0.55
NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,8.73,30.5,1440,High Coverage,0.29
12TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,8.26,15.0,720,High Coverage,0.55
BROOKLYN AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,8.03,17.5,1440,High Coverage,0.46
UNIVERSITY WAY NE BETWEEN NE 47TH ST AND NE 50TH ST,7.88,12.5,1440,High Coverage,0.63
BROOKLYN AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,7.29,11.5,1440,High Coverage,0.63
12TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,7.21,11.0,1440,High Coverage,0.66
BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,7.1,14.0,720,High Coverage,0.51
UNIVERSITY WAY NE BETWEEN NE 45TH ST AND NE 47TH ST,6.94,11.0,1440,High Coverage,0.63
UNIVERSITY WAY NE BETWEEN NE PACIFIC ST AND NE 40TH ST,6.89,12.5,1440,High Coverage,0.55
UNIVERSITY WAY NE BETWEEN NE 42ND ST AND NE 43RD ST,6.48,10.5,1440,High Coverage,0.62
9TH AVE NE BETWEEN NE 45TH E ST AND NE 47TH ST,6.42,15.0,600,High Coverage,0.43
11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,5.88,17.0,600,High Coverage,0.35
NE 42ND ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,5.76,6.5,1440,High Coverage,0.89
15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,5.71,6.0,720,High Coverage,0.95
NE CAMPUS EB PY BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,5.65,8.0,720,High Coverage,0.71
15TH AVE NE BETWEEN NE BOAT W ST AND NE PACIFIC ST,5.23,9.0,720,High Coverage,0.58
12TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,5.12,21.0,720,High Coverage,0.24
11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,4.98,15.5,1200,High Coverage,0.32
UNIVERSITY WAY NE BETWEEN NE 43RD ST AND NE 45TH ST,4.84,6.0,1440,High Coverage,0.81
NE 41ST ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,4.75,5.0,1440,High Coverage,0.95
NE 41ST ST BETWEEN 11TH AVE NE AND 12TH AVE NE,4.54,7.0,1200,High Coverage,0.65
BROOKLYN AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,4.45,8.0,720,High Coverage,0.56
NE 42ND ST BETWEEN 11TH AVE NE AND 12TH AVE NE,4.43,7.0,1200,High Coverage,0.63
15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,4.35,5.0,720,High Coverage,0.87
ROOSEVELT WAY NE BETWEEN NE 45TH ST AND NE 47TH ST,4.3,14.0,600,High Coverage,0.31
11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,4.13,15.0,600,High Coverage,0.28
NE 40TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,3.98,6.0,720,High Coverage,0.66
ROOSEVELT WAY NE BETWEEN NE 47TH ST AND NE 50TH ST,3.96,14.0,600,High Coverage,0.28
12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3.95,8.0,720,High Coverage,0.49
NE 40TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,3.94,4.0,720,High Coverage,0.99
NE 41ST ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,3.83,5.0,1440,High Coverage,0.77
UNIVERSITY WAY NE BETWEEN NE 41ST ST AND NE 42ND ST,3.62,7.0,720,High Coverage,0.52
NE 47TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,3.37,6.0,1440,High Coverage,0.56
UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY,3.1,4.0,1440,High Coverage,0.78
NE 41ST ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,2.88,7.0,1440,High Coverage,0.41
NE 42ND ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,2.73,3.5,1440,High Coverage,0.78
UNIVERSITY WAY NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST,2.59,5.5,1440,High Coverage,0.47
NE 42ND ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,2.55,5.0,1440,High Coverage,0.51
12TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST,2.43,6.0,720,High Coverage,0.41
NE 47TH ST BETWEEN 11TH AVE NE AND 12TH AVE NE,2.06,3.74,1033,High Coverage,0.55
NE 47TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,2.04,4.0,1440,High Coverage,0.51
11TH AVE NE BETWEEN EASTLAKE AVE NE AND NE 42ND ST,1.77,6.5,1200,High Coverage,0.27
11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,1.5,4.0,1200,High Coverage,0.37
NE PACIFIC ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,1.41,7.0,720,High Coverage,0.2
ROOSEVELT WAY NE BETWEEN NE 43RD N ST AND NE 45TH ST,1.22,6.0,600,High Coverage,0.2
NE 47TH ST BETWEEN ROOSEVELT WAY NE AND 11TH AVE NE,1.17,4.0,600,High Coverage,0.29
